,firstname,lastname,party,amount,contributor,race
0,cory,gardner,republican,124600,Votesane PAC,COS2
1,cory,gardner,republican,64961,Apollo Global Management,COS2
2,cory,gardner,republican,55979,GEO Group,COS2
3,cory,gardner,republican,51765,Blue Cross/Blue Shield,COS2
4,cory,gardner,republican,50788,Blackstone Group,COS2
5,cory,gardner,republican,44700,Elliott Management,COS2
6,cory,gardner,republican,42666,BGR Group,COS2
7,cory,gardner,republican,34554,NextEra Energy,COS2
8,cory,gardner,republican,34413,"Brownstein, Hyatt et al",COS2
9,cory,gardner,republican,34275,"Paul, Weiss et al",COS2
10,cory,gardner,republican,33600,Lmbi Lp,COS2
11,cory,gardner,republican,33105,Visa Inc,COS2
12,cory,gardner,republican,31562,DISH Network,COS2
13,cory,gardner,republican,30548,Deloitte LLP,COS2
14,cory,gardner,republican,29645,Rock Holdings,COS2
15,cory,gardner,republican,28700,United Launch Alliance,COS2
16,cory,gardner,republican,28593,Xcel Energy,COS2
17,cory,gardner,republican,28224,Bank of America,COS2
18,cory,gardner,republican,26750,Comcast Corp,COS2
19,cory,gardner,republican,26550,NorPAC,COS2
20,john,hickenlooper,democrat,256481,Alphabet Inc,COS2
21,john,hickenlooper,democrat,238166,Democracy Engine,COS2
22,john,hickenlooper,democrat,176333,University of Colorado                  ,COS2
23,john,hickenlooper,democrat,172769,University of California                ,COS2
24,john,hickenlooper,democrat,159910,J Street,COS2
25,john,hickenlooper,democrat,119505,Microsoft Corp,COS2
26,john,hickenlooper,democrat,105905,Harvard University,COS2
27,john,hickenlooper,democrat,73507,Apple Inc,COS2
28,john,hickenlooper,democrat,71571,Amazon.com                              ,COS2
29,john,hickenlooper,democrat,67202,Walt Disney Co,COS2
30,john,hickenlooper,democrat,66737,US Government,COS2
31,john,hickenlooper,democrat,65025,Facebook Inc,COS2
32,john,hickenlooper,democrat,62390,Stanford University,COS2
33,john,hickenlooper,democrat,57604,AT&T Inc,COS2
34,john,hickenlooper,democrat,56641,Comcast Corp,COS2
